"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009"
"27" 85983 87496 89570 90234 91086 92214 92446 92658 93468 93909 94498 95026 95435 96021 96411 96662 96936 97005 97261 97369 97476 97604 97729 97786 97933 98082 98209 98307 98390 98488 98550 98606 98690 98692 98768 98838 98868 98918 98927 98957 98968 98993 98994 99014 99057 99007 99127 99132 99098 99158 99210 99239 99247 99236 99289 99277 99277 99312 99306 99344
"28" 85546 87133 89289 89986 90844 92000 92259 92468 93295 93746 94349 94890 95313 95907 96307 96564 96844 96915 97175 97286 97396 97522 97657 97724 97862 98025 98152 98254 98337 98440 98501 98562 98647 98652 98725 98798 98828 98881 98889 98922 98937 98958 98959 98986 99025 98975 99096 99101 99066 99124 99177 99210 99216 99205 99260 99247 99245 99280 99273 99313
"29" 85097 86780 88996 89728 90597 91788 92061 92272 93131 93581 94194 94754 95187 95792 96200 96456 96751 96821 97086 97195 97309 97446 97580 97654 97804 97958 98091 98198 98282 98391 98452 98513 98603 98609 98680 98755 98785 98843 98850 98884 98902 98923 98921 98951 98992 98940 99064 99068 99031 99092 99143 99177 99186 99172 99226 99216 99212 99248 99241 99280
"30" 84672 86429 88709 89456 90353 91565 91859 92064 92944 93409 94046 94616 95043 95668 96081 96345 96650 96716 96999 97110 97221 97368 97503 97571 97735 97895 98026 98141 98224 98338 98404 98464 98555 98560 98635 98711 98741 98801 98808 98844 98861 98887 98881 98917 98957 98905 99031 99030 98996 99055 99107 99146 99151 99139 99190 99180 99173 99213 99207 99244
"31" 84245 86070 88401 89185 90100 91343 91640 91844 92764 93236 93891 94468 94902 95545 95964 96245 96539 96616 96898 97014 97132 97281 97417 97495 97655 97823 97966 98074 98162 98287 98349 98411 98504 98509 98589 98662 98698 98758 98767 98803 98819 98846 98843 98877 98919 98865 98996 98992 98957 99017 99068 99107 99116 99103 99154 99143 99138 99177 99171 99213
"32" 83839 85718 88098 88911 89843 91108 91430 91636 92580 93055 93733 94312 94758 95420 95840 96124 96429 96514 96798 96916 97047 97192 97329 97410 97581 97748 97901 98020 98094 98225 98294 98356 98448 98457 98533 98614 98652 98715 98722 98761 98775 98804 98801 98837 98876 98823 98955 98952 98916 98972 99028 99065 99075 99063 99119 99104 99104 99140 99130 99173
"33" 83427 85371 87791 88641 89572 90875 91205 91416 92385 92870 93560 94150 94604 95285 95715 96002 96311 96399 96698 96808 96943 97102 97237 97321 97502 97677 97828 97950 98036 98157 98231 98298 98391 98405 98481 98560 98601 98669 98676 98718 98732 98761 98761 98798 98831 98775 98908 98904 98870 98929 98986 99023 99036 99021 99077 99062 99064 99104 99088 99132
"34" 83015 85014 87489 88351 89309 90634 90977 91186 92194 92674 93384 93991 94447 95147 95579 95871 96189 96283 96587 96697 96833 97000 97148 97233 97410 97590 97751 97878 97967 98095 98164 98235 98328 98347 98422 98504 98549 98620 98625 98668 98684 98714 98714 98748 98786 98728 98859 98859 98822 98886 98941 98981 98991 98979 99037 99017 99020 99063 99048 99092
"35" 82594 84664 87172 88067 89032 90394 90727 90945 91988 92471 93200 93806 94286 94993 95443 95736 96058 96168 96466 96579 96722 96892 97047 97140 97321 97502 97670 97802 97888 98020 98099 98161 98259 98277 98360 98442 98493 98564 98572 98614 98633 98665 98667 98700 98738 98672 98812 98813 98774 98831 98891 98935 98941 98931 98989 98966 98974 99020 99001 99047
"36" 82170 84298 86850 87782 88762 90130 90489 90703 91775 92261 93013 93623 94118 94839 95299 95591 95918 96035 96338 96458 96603 96784 96942 97035 97226 97408 97585 97717 97808 97939 98023 98093 98183 98201 98292 98378 98431 98506 98512 98560 98573 98609 98611 98646 98687 98619 98761 98756 98717 98777 98835 98885 98890 98878 98937 98916 98926 98970 98956 98997
"37" 81743 83933 86520 87483 88481 89866 90232 90447 91549 92049 92814 93443 93939 94676 95142 95435 95779 95893 96204 96326 96472 96666 96828 96927 97121 97318 97487 97624 97720 97861 97939 98015 98114 98120 98216 98307 98360 98442 98449 98496 98512 98550 98552 98589 98630 98566 98709 98702 98657 98723 98785 98830 98833 98825 98878 98859 98872 98919 98902 98948
"38" 81324 83554 86178 87175 88193 89589 89981 90175 91321 91817 92603 93250 93757 94483 94969 95278 95636 95747 96060 96184 96332 96539 96708 96805 97010 97203 97388 97527 97627 97771 97858 97926 98033 98048 98128 98228 98283 98374 98376 98424 98444 98491 98487 98528 98570 98507 98646 98644 98600 98669 98718 98771 98776 98769 98823 98799 98813 98861 98842 98888
"39" 80886 83167 85832 86852 87879 89308 89713 89906 91076 91594 92385 93038 93557 94298 94778 95110 95472 95592 95911 96026 96191 96395 96581 96685 96887 97091 97278 97434 97526 97671 97761 97836 97940 97961 98052 98143 98206 98297 98301 98348 98373 98418 98416 98459 98503 98437 98582 98579 98537 98607 98652 98708 98713 98703 98760 98736 98751 98798 98782 98825
"40" 80428 82757 85475 86506 87572 89016 89435 89626 90828 91344 92144 92816 93343 94105 94589 94920 95291 95420 95751 95867 96034 96253 96427 96551 96756 96961 97165 97319 97418 97564 97657 97739 97846 97865 97960 98062 98112 98208 98215 98262 98297 98343 98344 98387 98429 98361 98511 98511 98461 98536 98583 98641 98644 98635 98684 98668 98688 98731 98708 98758
"41" 79966 82344 85092 86171 87252 88708 89151 89334 90553 91087 91887 92583 93119 93894 94385 94735 95103 95239 95571 95695 95868 96094 96272 96400 96621 96827 97035 97199 97302 97454 97547 97629 97747 97765 97852 97961 98023 98109 98124 98168 98212 98261 98260 98302 98352 98280 98434 98437 98379 98456 98507 98569 98571 98560 98611 98594 98612 98663 98639 98690
"42" 79498 81924 84695 85814 86933 88394 88835 89022 90284 90805 91626 92328 92878 93662 94168 94528 94905 95042 95389 95520 95674 95929 96107 96244 96469 96678 96895 97071 97176 97321 97429 97513 97633 97649 97739 97852 97918 98019 98020 98067 98110 98173 98167 98216 98268 98192 98353 98349 98294 98369 98423 98489 98491 98484 98532 98511 98531 98589 98562 98608
"43" 79003 81493 84299 85423 86586 88070 88518 88684 89996 90529 91368 92075 92623 93411 93936 94303 94688 94843 95182 95323 95485 95745 95933 96066 96301 96516 96746 96927 97036 97192 97306 97395 97513 97527 97618 97732 97799 97912 97922 97955 98004 98068 98066 98113 98172 98096 98254 98251 98202 98279 98329 98400 98405 98403 98442 98428 98449 98504 98479 98525
"44" 78519 81038 83887 85035 86212 87709 88176 88343 89694 90220 91084 91784 92356 93160 93686 94065 94453 94618 94965 95099 95270 95544 95748 95884 96116 96339 96576 96777 96883 97044 97160 97258 97385 97400 97484 97600 97675 97779 97805 97845 97883 97947 97950 98002 98063 97987 98148 98149 98103 98179 98231 98305 98314 98307 98354 98336 98352 98409 98385 98438
"45" 78029 80570 83472 84619 85810 87332 87812 87988 89362 89890 90766 91490 92066 92887 93397 93790 94199 94379 94713 94870 95033 95322 95547 95674 95911 96149 96400 96606 96719 96884 97001 97106 97229 97260 97341 97458 97535 97656 97662 97726 97771 97815 97826 97874 97948 97868 98037 98036 97993 98067 98117 98192 98212 98204 98260 98233 98253 98313 98287 98333
"46" 77486 80096 83015 84178 85395 86943 87423 87601 88995 89545 90419 91160 91754 92583 93119 93495 93919 94115 94460 94607 94786 95087 95320 95447 95703 95954 96201 96420 96540 96711 96835 96942 97071 97104 97194 97308 97391 97513 97529 97586 97642 97695 97686 97731 97816 97731 97908 97918 97870 97946 97995 98075 98102 98092 98148 98123 98149 98205 98184 98225
"47" 76947 79588 82544 83696 84951 86519 86999 87168 88611 89177 90044 90810 91413 92267 92786 93184 93611 93826 94170 94345 94530 94839 95071 95206 95472 95732 95987 96216 96342 96516 96652 96766 96902 96932 97020 97149 97238 97358 97377 97441 97496 97556 97557 97575 97672 97584 97768 97776 97739 97807 97866 97947 97976 97973 98028 98003 98024 98079 98063 98108
"48" 76383 79036 82041 83218 84476 86068 86545 86730 88186 88782 89646 90442 91045 91900 92436 92836 93300 93505 93860 94034 94237 94571 94793 94944 95220 95489 95756 96002 96130 96306 96444 96570 96706 96747 96834 96969 97068 97187 97209 97283 97342 97390 97402 97436 97508 97419 97616 97625 97585 97661 97730 97805 97847 97841 97904 97866 97897 97951 97936 97984
"49" 75777 78444 81498 82670 83980 85559 86066 86235 87730 88340 89203 90045 90637 91510 92032 92460 92949 93170 93540 93705 93910 94283 94496 94663 94944 95223 95510 95753 95896 96063 96220 96345 96497 96539 96628 96775 96874 97005 97027 97108 97165 97225 97219 97262 97357 97235 97445 97457 97422 97506 97578 97653 97696 97700 97747 97725 97752 97809 97795 97850
