"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"21" 397528.74 396769.59 415507.24 400551.54 388156.56 388332.8 390106.32 389051.9 377055.19 381844.68 402242.48 404686 401589.15 374825.73 354158.26 352452.84 345854.02 341804.32 403290.61 411290.76 417889.01 393199.18 390083.29 367612.54 360416.85 366375.3 376701.94 385160.32 389831.65 388326.79 394007.37 407985.8 422246.78 430852 440879.73 453974.44 473370.78 471955.32 465086.42 453068.21 449351.12 445463.11 437631.35 441800.06 434740.87 438951.53 427045.74 408986.54 386218.89 364245.3 346540.89
"22" 399290.94 396573.43 395352.97 413126.56 398447 387671.78 385677.44 387532.31 385765.02 374282.34 379135.67 399534.91 402731.43 401303.92 373498.31 352622.32 350685.21 344017.12 339438.23 400897.54 408797.86 416562.66 391589.06 389492 368400.18 361287.87 366996.69 377208.98 385527.29 390095.56 388428.03 394224.09 411551.58 422249.47 430871.9 440952.17 453993.25 473359.35 471990.41 465006.99 453057.78 449494 445648.85 438483.68 442547.64 435287.52 437886.43 426997.08 409249.83 386431.45 364496.52
"23" 400091.28 397890.59 395457.52 393594.05 410766.73 398335.28 385252.67 383058.1 384921.8 382536.64 371501.99 376444.66 397297.65 402719.85 401015.69 372188.89 351105.37 348925.58 342147.23 337077.13 398484.46 406314.96 415465.06 392373.86 388907.72 369214.83 362176.9 367620.08 377727.02 385888.26 390356.47 388509.71 397979.09 411595.14 422275.15 430915.8 441016.61 453991.06 473366.92 471997.51 464904.56 453028.35 449696.95 446464.26 439311.01 443298.21 435813.16 436822.34 426954.41 409487.12 386669.02
"24" 399889.31 398852.67 396429.11 393726.82 391870.24 410471.42 396229.1 382822.06 380422.26 382317.8 379263.26 368728.63 374160.13 396841.47 402727.26 400743.46 370880.47 349567.43 347138.96 340302.34 334729.04 396101.39 404444.18 415200.97 393154.66 388367.43 370031.47 363030.92 368230.47 378253.06 386268.23 390604.83 392099.72 397998.84 411648.7 422272.83 430931.7 441089.05 453975.87 473356.49 472009.61 464803.13 453081.97 450173.82 447265.66 440156.33 444045.79 436328.81 435757.25 426885.75 409741.4
"25" 399853.67 398560.77 397552.33 394667.72 392004.32 392107.86 408122.11 394131.41 380385.96 377828.42 379703.3 375965.88 366727.8 373584.78 396368.28 402772.68 400468.23 369608.05 348041.48 345388.33 338440.45 332349.94 394378.85 405376.84 414904.88 393943.46 387804.14 370831.11 363907.95 368877.87 378769.1 386640.37 394295.35 392060.92 398010.58 411699.26 422287.51 430946.6 441146.49 453980.67 473345.06 472008.7 464756.42 453344.79 450641.7 448047.07 440990.66 444790.37 436852.46 434687.16 426835.08
"26" 400658.43 398647.69 397140.69 395962.39 392922.59 392625.12 390370.72 405778.35 391992.21 377950.37 375190.59 377073.79 373322.29 367538.58 372961.43 395900.1 402793.1 400209 368304.63 346492.54 343640.7 336579.56 330581.49 395567.48 406309.5 414649.79 394729.26 387249.85 371662.75 364769.97 369505.26 379266.58 390056.87 394171.07 392023.11 398036.33 411730.82 422296.2 430969.5 441206.93 453983.48 473272.64 472008.56 465045.11 453620.61 451096.58 448847.48 441803.99 445548.95 437385.11 433615.07
"27" 408222.28 399038.49 397428.93 395363.25 394407.72 393523.04 390908.03 388682.59 403385.1 389922.51 375528.27 372556.75 374916.4 373154.24 368370.36 372374.08 395476.92 402833.52 399922.77 367017.21 344947.6 341850.08 335195.01 331464.29 396752.11 407264.16 414400.7 395523.06 386732.57 372493.39 365649.99 370128.72 382746.12 390150.12 394022.79 391998.3 398079.07 411771.39 422298.88 430968.4 441266.38 453964.29 473237.57 472197.59 465296.8 453864.44 451546.46 449623.88 442653.32 446280.52 437918.76
"28" 394304.69 407075.36 397457.16 396046.77 393587.57 395210.14 391798.68 389177.95 386947.46 401024.37 387851.32 373093.17 370337.58 374362.29 372984.19 369191.15 371767.73 395018.73 402859.93 399660.54 365701.8 343400.65 340544.74 335919.29 332376.09 397957.75 408197.82 414133.61 396296.86 386162.28 373316.04 366498.27 373263.75 382937.02 390245.37 393877.51 391964.5 398093.81 411802.95 422291.56 430957.3 441318.82 453950.02 473234.39 472368.62 465543.49 454108.26 451981.34 450383.29 443494.65 447010.1
"29" 401247.43 392173.04 405942.46 395935.38 394647.85 394585.39 393663.88 390070.35 387459.37 385236.82 398742.63 385762.13 371022.55 369672.17 373781.17 372832.15 370020.93 371174.38 394547.55 402881.35 399349.31 364438.38 342269.51 341308.41 336669.57 333272.89 399147.38 409124.48 413864.52 397080.67 385595.99 374127.86 369795.7 373400.77 383121.92 390319.62 393730.23 391924.69 398115.56 411805.51 422257.25 430941.2 441379.69 454116.71 473227.21 472515.65 465775.19 454323.08 452425.21 451167.7 444326.98
"30" 265733.43 402035.75 390234.57 404650.03 394439.74 396429.2 392787.94 392130.64 388332.03 385779.29 383503.18 396367.9 383950.14 370205.02 368996.76 373249.06 372685.1 370841.71 370549.03 394095.37 402894.77 399058.08 363445.85 342992.1 342068.08 337419.85 334154.7 400314.01 410061.14 413576.43 397868.47 385042.7 377419.39 369946.17 373511.79 383296.82 390376.88 393586.94 391874.89 398127.3 411825.07 422235.93 430922.51 441614.69 454299.39 473228.02 472641.68 465991.88 454588.9 452894.09 451950.1
