"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"60" 247574 237196 244206 246436 258002 257406 253442 269175 266604 265094 270842 272749 283765 290958 285106 287512 287037 288098 284056 292418 288948 291207 275478 292490 287856 285352 189724 150598 159376 178463 200133 327224 323858 312134 310728 308614 314051 312000 308119 312056 308503 321841 314184 313476 298572 301971 289649 288404 282594 280285 281487
"61" 240757 244338 234067 241187 243179 254714 254407 250258 266452 264102 262544 268402 270389 284278 288543 282674 284679 284534 285491 281437 289814 286574 288745 273501 290210 285728 283532 188329 149548 158219 177244 198769 325087 321563 310063 308527 306578 311985 310150 306158 310105 306898 320000 312714 311874 297050 300555 288102 286976 281272 279046
"62" 237777 237373 240706 230825 237733 239812 251301 251179 246956 263637 261330 259754 265873 270641 281870 285881 279792 281728 281681 282694 278498 287244 283969 286058 271443 287821 283852 281174 186852 148303 156925 175904 197192 322845 319049 307777 306027 304245 309817 308113 304027 308239 305114 317934 310887 310025 295294 298972 286454 285346 279885
"63" 228908 233968 233596 237152 227202 234226 236213 247488 247866 243743 260430 258306 256914 265786 268581 279147 282772 276843 278517 278603 279542 275562 284312 281161 283213 269233 283685 281129 278591 185201 147033 155604 174467 195684 320622 316636 305656 303669 302045 307728 306207 302023 306059 303218 315622 308940 307856 293287 297246 284659 283741
"64" 228374 224895 229694 229650 233057 223592 230566 232348 243441 244320 240162 257027 255278 256690 263166 266230 275901 279264 273468 275296 275078 276445 272552 281180 278119 280280 267109 280789 278343 275994 183524 145702 154196 172951 194112 318378 314047 303372 301257 299820 305472 304010 299892 303806 301171 313359 306975 305761 291282 295410 282923
"65" 223006 223878 220411 225452 225240 228824 219775 226748 228173 239570 240525 236406 253592 254710 253356 260261 262941 272404 275624 269893 271529 271574 273005 269226 277812 275035 276033 264029 277767 275365 273087 181678 144269 152964 171628 192688 316069 311503 301183 298983 297555 303202 301724 297659 301502 298994 310954 304731 303511 289105 293524
"66" 211912 218436 219105 215930 220712 220814 224277 215634 222535 223934 235182 236412 232376 252542 251423 250010 256605 259588 268408 271718 265851 267763 267887 269309 265655 274265 273169 272496 261010 274580 272294 270183 179695 143156 151694 170223 191203 313738 309017 298943 296584 295553 300626 299179 295258 298937 296463 308256 302392 301065 287043
"67" 209085 206881 213280 214118 210904 215890 216159 219232 211388 218340 219630 230497 232262 230946 248549 247867 245870 252623 255646 264190 266923 261841 263666 263819 265366 261898 271288 269552 269162 257744 271278 269050 267048 177416 141285 149876 168173 189151 310629 305817 296105 293925 293029 297743 296352 292495 296039 293797 305220 299704 298495
"68" 199579 203617 201526 208138 208577 205729 210649 211094 214088 206886 213874 214653 225770 229992 225635 244461 243387 241686 248247 250448 259389 262465 257568 259340 259452 261076 258466 267471 265853 265518 254362 267894 265511 263425 174997 139353 147811 165827 186850 307289 302378 293232 291060 290249 294505 293393 289493 293003 290889 302106 296968
"69" 186702 193652 197756 195896 202281 203063 200223 204985 205714 208837 201963 208837 209776 223134 224617 220247 239386 238803 236780 242627 244524 254539 257440 252890 254583 254801 256366 254485 263454 262020 261738 250680 264121 261613 259521 172300 137217 145596 163421 184349 303754 299345 289873 287828 287153 291104 290164 286351 289734 287902 298947
