"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"32" 30498 31363 29932 34869 33167 30932 31679 31266 30524 29735 28686 28919 27945 28728 27613 28104 27212 28269 28377 29086 29748 30228 30036 31337 32044 36604 37702 40498 42164 43206 41959 39219 37171 37406 35596 36339 36708 36132 36287 36661 36005 36157 36010 37281 37419 38205 40639 41197 42458 43860 41039
"33" 31146 30197 31210 29868 34842 33124 30896 31564 31156 30477 29738 28567 28955 27950 28696 27609 28037 27198 28264 28332 29081 29889 30227 30079 31342 31984 35525 37690 40484 42186 43249 41914 39196 37134 37366 35612 36339 36751 36157 36279 36657 36060 36232 36047 37356 37456 38476 40799 41355 42536 43908
"34" 30894 30380 30121 31160 29840 34800 33081 30800 31422 31093 30455 29702 28582 28971 27938 28704 27668 28040 27204 28194 28306 29034 29845 30235 30100 31324 31928 35512 37700 40519 42158 43193 41857 39140 37095 37342 35632 36370 36763 36112 36250 36709 36125 36323 36097 37424 37697 38574 40881 41450 42599
"35" 31815 30189 30283 30054 31131 29796 34707 32972 30660 31375 31043 30285 29734 28571 28948 27926 28505 27646 28010 27179 28219 28333 29030 29884 30219 30039 31255 31889 35512 37706 40493 42117 43108 41788 39134 37075 37332 35639 36388 36711 36082 36239 36786 36196 36382 36203 37671 37838 38673 40953 41495
"36" 32308 32054 30095 30212 30000 31076 29737 34604 32847 30603 31331 31016 30272 29765 28553 28942 27875 28487 27631 27994 27203 28277 28330 29037 29869 30186 29971 31237 31912 35518 37715 40434 42070 43041 41741 39115 37107 37318 35660 36363 36718 36134 36279 36850 36247 36464 36439 37802 37909 38726 40969
"37" 32370 31786 31952 30031 30183 29951 31006 29681 34493 32796 30578 31249 31010 30263 29735 28560 28839 27830 28468 27581 27977 27254 28222 28339 29015 29855 30087 29930 31236 31921 35499 37662 40378 42010 43053 41736 39096 37124 37342 35626 36363 36709 36170 36323 36904 36298 36679 36534 37861 37937 38753
"38" 31921 32345 31699 31877 29977 30140 29893 30884 29589 34423 32744 30482 31237 30976 30208 29705 28670 28835 27795 28432 27560 27982 27227 28215 28326 28999 29785 30093 29952 31219 31905 35452 37610 40321 41990 43025 41710 39092 37112 37329 35588 36352 36743 36170 36380 36923 36481 36758 36584 37918 37997
"39" 31947 31530 32249 31617 31824 29910 30082 29780 30791 29508 34390 32842 30459 31222 30957 30204 29645 28643 28780 27736 28402 27637 27948 27215 28189 28283 28920 29763 30092 29914 31214 31864 35420 37536 40279 41938 42970 41705 39054 37064 37296 35582 36369 36769 36190 36425 37081 36548 36776 36615 37936
"40" 32151 31818 31411 32167 31524 31787 29858 29989 29674 30719 29460 34308 32795 30423 31175 30903 30189 29613 28590 28732 27705 28330 27588 27922 27192 28143 28185 28883 29727 30059 29901 31155 31781 35350 37487 40222 41884 42935 41680 39011 37055 37247 35580 36370 36781 36225 36573 37104 36569 36791 36617
"41" 31524 32585 31711 31339 32091 31456 31700 29789 29912 29625 30670 29361 34281 32742 30371 31152 30826 30139 29557 28540 28704 27721 28300 27568 27888 27145 28088 28155 28871 29682 30032 29854 31081 31732 35304 37442 40150 41842 42913 41626 38950 37035 37205 35558 36348 36765 36407 36576 37085 36588 36790
"42" 30707 31260 32478 31614 31262 32025 31362 31595 29664 29861 29568 30593 29309 34254 32700 30331 31124 30772 30067 29507 28509 28629 27676 28248 27514 27835 27069 28040 28117 28831 29655 29965 29801 31024 31690 35228 37393 40109 41785 42845 41583 38929 37018 37210 35530 36333 36892 36424 36590 37093 36579
