Total death counts and exposures for Sweden
source: http://www.mortality.org

period age_group deaths exposure
1920-1929 50-54 26938 2782377.33
1920-1929 55-59 33901 2504515.83
1920-1929 60-64 46681 2319435.5
1920-1929 65-69 60898 1934701.33
1920-1929 70-74 74384 1464947.5
1920-1929 75-79 84706 992801.83
1920-1929 80-84 76401 551183.26
1920-1929 85-89 49229 221791.34
1920-1929 90-94 17755 53591.17
1920-1929 95-99 3125 6640.5
1920-1929 100-104 218 349.5
1920-1929 105-109 3 1.83
1920-1929 110+ 0 0
1930-1939 0 42813 869642.33
1930-1939 1-4 11927 3425355.5
1930-1939 5-9 6743 4671390.5
1930-1939 10-14 7014 5227902.83
1930-1939 15-19 13540 5467125.33
1930-1939 20-24 18529 5493495.83
1930-1939 25-29 17733 5358959.17
1930-1939 30-34 16989 4958647.17
1930-1939 35-39 17677 4521935.17
1930-1939 40-44 19991 4098932.67
1930-1939 45-49 24393 3728495
1930-1939 50-54 30764 3351419.17
1930-1939 55-59 38310 2927232.5
1930-1939 60-64 48469 2436754.83
1930-1939 65-69 65267 2042400.17
1930-1939 70-74 87439 1673768.5
1930-1939 75-79 99144 1133912.17
1930-1939 80-84 86506 605177.3
1930-1939 85-89 52547 231672.09
1930-1939 90-94 18900 55127.09
1930-1939 95-99 3501 7271.17
1930-1939 100-104 304 446.33
1930-1939 105-109 8 4.33
1930-1939 110+ 0 0
1940-1949 0 35210.74 1175513.02
1940-1949 1-4 8097.25 4292122.83
1940-1949 5-9 3998.11 4464983.83
1940-1949 10-14 3214.84 4260245.82
1940-1949 15-19 6957.91 4658694.81
1940-1949 20-24 11654.34 5208397.51
1940-1949 25-29 11477.91 5407356.88
1940-1949 30-34 12178.08 5418929.35
1940-1949 35-39 13973.42 5285226.85
1940-1949 40-44 16689.87 4864041.86
1940-1949 45-49 21972.86 4385397.14
1940-1949 50-54 29350.57 3901708.86
1940-1949 55-59 39088.74 3456095.99
1940-1949 60-64 53000.94 2979202.63
1940-1949 65-69 69874.01 2428315.81
1940-1949 70-74 86429.44 1792102.09
1940-1949 75-79 99637.73 1213340.47
1940-1949 80-84 95083.79 696694.11
1940-1949 85-89 58288.16 268866.09
1940-1949 90-94 20242.74 61757.51
1940-1949 95-99 3437.5 7471.8
1940-1949 100-104 265.03 409.68
1940-1949 105-109 9 9
1940-1949 110+ 0 0
1950-1959 0 20102 1076927.67
1950-1959 1-4 4698 4486521.33
1950-1959 5-9 3120 5986239.67
1950-1959 10-14 2186 5492191.5
1950-1959 15-19 3309 4544189.83
1950-1959 20-24 4181 4434276.5
1950-1959 25-29 4921 4856539.33
1950-1959 30-34 6668 5320203.67
1950-1959 35-39 8917 5426607.5
1950-1959 40-44 12834 5386077.17
1950-1959 45-49 19466 5195888.33
1950-1959 50-54 28000 4699596.33
1950-1959 55-59 39711 4124466.33
1950-1959 60-64 55336 3523921.5
1950-1959 65-69 76523 2925485
1950-1959 70-74 100670 2250267.33
1950-1959 75-79 114698 1502902.33
1950-1959 80-84 101980 787420.83
1950-1959 85-89 64124 306222.17
1950-1959 90-94 24572 77883.83
1950-1959 95-99 4489 9927.33
1950-1959 100-104 362 609.5
1950-1959 105-109 6 9.67
1950-1959 110+ 0 0
1960-1969 0 15970 1122996.5
1960-1969 1-4 2921 4404696.83
1960-1969 5-9 2141 5295152.67
1960-1969 10-14 1729 5585803.67
1960-1969 15-19 3994 6053549.5
1960-1969 20-24 4515 5711391.5
1960-1969 25-29 4127 4799120.83
1960-1969 30-34 4872 4550572
1960-1969 35-39 7155 4868726.83
1960-1969 40-44 11212 5271233.83
1960-1969 45-49 18062 5322619.33
1960-1969 50-54 27766 5208246.83
1960-1969 55-59 42227 4913813.5
1960-1969 60-64 61310 4285232.5
1960-1969 65-69 84682 3540986.17
1960-1969 70-74 112318 2722286.67
1960-1969 75-79 133312 1875476.17
1960-1969 80-84 125324 1051349.5
1960-1969 85-89 80830 419079
1960-1969 90-94 29980 102623.33
1960-1969 95-99 5802 13838.67
1960-1969 100-104 537 958.33
1960-1969 105-109 19 23.17
1960-1969 110+ 0 0
1970-1979 0 9762 1042975.17
1970-1979 1-4 1885 4412140.83
1970-1979 5-9 1718 5774929.67
1970-1979 10-14 1462 5613121.67
1970-1979 15-19 3473 5411694.83
1970-1979 20-24 4652 5905019.5
1970-1979 25-29 5300 6429051.33
1970-1979 30-34 6136 5874043.83
1970-1979 35-39 7033 4830543.67
1970-1979 40-44 10229 4537022
1970-1979 45-49 16412 4799366.5
1970-1979 50-54 27431 5116001.83
1970-1979 55-59 41838 5057074.33
1970-1979 60-64 63577 4787937.67
1970-1979 65-69 93882 4270603.33
1970-1979 70-74 124710 3387573.5
1970-1979 75-79 148639 2369621.67
1970-1979 80-84 142490 1376505.67
1970-1979 85-89 101185 604072.5
1970-1979 90-94 43801 171840.67
1970-1979 95-99 9927 26516.33
1970-1979 100-104 1019 1940.83
1970-1979 105-109 36 53
1970-1979 110+ 0 0
1980-1989 0 6440 991591.83
1980-1989 1-4 1141 3874629.67
1980-1989 5-9 825 5062234.33
1980-1989 10-14 964 5491165.83
1980-1989 15-19 2718 5816199.17
1980-1989 20-24 3736 5791450.67
1980-1989 25-29 4324 5693780.67
1980-1989 30-34 5491 6036866.67
1980-1989 35-39 8007 6389757
1980-1989 40-44 10612 5787159.67
1980-1989 45-49 13902 4731958.5
1980-1989 50-54 20600 4395823.17
1980-1989 55-59 34075 4560879
1980-1989 60-64 56461 4716970
1980-1989 65-69 86201 4435755.67
1980-1989 70-74 124305 3863109.67
1980-1989 75-79 161647 2989758.5
1980-1989 80-84 169198 1856671.8
1980-1989 85-89 130957 864531.11
1980-1989 90-94 64150 267278.17
1980-1989 95-99 17235 48478.83
1980-1989 100-104 2169 4305.83
1980-1989 105-109 107 142.5
1980-1989 110+ 1 1.83
1990-1999 0 4974 1079465.33
1990-1999 1-4 968 4539655.17
1990-1999 5-9 686 5540679.67
1990-1999 10-14 707 5080775.17
1990-1999 15-19 1852 5236382.83
1990-1999 20-24 2864 5733839.83
1990-1999 25-29 3467 6198992.83
1990-1999 30-34 4319 6135021
1990-1999 35-39 5916 5881460.33
1990-1999 40-44 9275 6084689.5
1990-1999 45-49 15100 6337575.5
1990-1999 50-54 21151 5665307.17
1990-1999 55-59 27631 4562686.33
1990-1999 60-64 41206 4129903.5
1990-1999 65-69 66702 4097520.67
1990-1999 70-74 105942 3942421.17
1990-1999 75-79 150907 3281431.33
1990-1999 80-84 184473 2296444.49
1990-1999 85-89 168573 1232530.34
1990-1999 90-94 95389 419275.96
1990-1999 95-99 27473 77695.94
1990-1999 100-104 3561 6965.5
1990-1999 105-109 195 329.83
1990-1999 110+ 5 5.5
2000-2009 0 2939 1004575.33
2000-2009 1-4 669 3910039.67
2000-2009 5-9 439 5109518.5
2000-2009 10-14 618 5810875.5
2000-2009 15-19 1777 5756020
2000-2009 20-24 2657 5361320.5
2000-2009 25-29 2697 5636093.83
2000-2009 30-34 3113 6081742.67
2000-2009 35-39 4616 6410848.33
2000-2009 40-44 7024 6229544.5
2000-2009 45-49 11111 5889836.67
2000-2009 50-54 18884 5997567.17
2000-2009 55-59 30856 6140004
2000-2009 60-64 42901 5378992.17
2000-2009 65-69 54859 4184643
2000-2009 70-74 77870 3561537.67
2000-2009 75-79 120565 3186356.17
2000-2009 80-84 174800 2543582.67
2000-2009 85-89 188172 1504033.17
2000-2009 90-94 125820 580519.32
2000-2009 95-99 43155 125207.68
2000-2009 100-104 5977 11861.3
2000-2009 105-109 331 496.77
2000-2009 110+ 10 11.5
2010-2014 0 1379 569688.5
2010-2014 1-4 288 2278426.5
2010-2014 5-9 190 2686317
2010-2014 10-14 216 2488670
2010-2014 15-19 742 2902117.17
2010-2014 20-24 1438 3260456
2010-2014 25-29 1511 3031136.17
2010-2014 30-34 1572 2953191.5
2010-2014 35-39 1906 3104949.33
2010-2014 40-44 2918 3236419.67
2010-2014 45-49 5089 3309502.17
2010-2014 50-54 7708 2962106
2010-2014 55-59 12120 2875406
2010-2014 60-64 20672 2960723.5
2010-2014 65-69 32624 2881971.5
2010-2014 70-74 38450 2091465.17
2010-2014 75-79 51032 1563102.33
2010-2014 80-84 74141 1222865.67
2010-2014 85-89 93479 817229.33
2010-2014 90-94 73684 360575.33
2010-2014 95-99 26071 77936.83
2010-2014 100-104 4290 8494.49
2010-2014 105-109 218.6 359.52
2010-2014 110+ 3.39 15.42
